epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,30494.8,0.37725,0.51986,0.25693,0.8974,0.99763,1,0.995,0.97428,0.99763,1,0.995,0.97457,0.29188,0.44917,0.1877,0.79143,0.003664,0.003664,0.003664
66,30946.9,0.38656,0.52104,0.25982,0.90683,0.99861,1,0.995,0.98287,0.99861,1,0.995,0.97888,0.23895,0.44801,0.15959,0.776,0.003565,0.003565,0.003565
67,31379.9,0.3688,0.50685,0.25435,0.89256,0.99514,1,0.995,0.97753,0.99514,1,0.995,0.97925,0.25563,0.44892,0.17023,0.78752,0.003466,0.003466,0.003466
68,31804.1,0.36331,0.50665,0.25147,0.89443,0.9957,1,0.995,0.96184,0.9957,1,0.995,0.97584,0.27008,0.44699,0.1764,0.79434,0.003367,0.003367,0.003367
69,32375.4,0.35212,0.49031,0.24007,0.8894,0.99426,1,0.995,0.96791,0.99426,1,0.995,0.98011,0.26308,0.42877,0.16373,0.79059,0.003268,0.003268,0.003268
70,32837.3,0.37275,0.51148,0.2531,0.90221,0.99554,1,0.995,0.97811,0.99554,1,0.995,0.98224,0.29064,0.41746,0.1793,0.78902,0.003169,0.003169,0.003169
71,33306,0.3632,0.49115,0.24804,0.88665,0.99481,1,0.995,0.97338,0.99481,1,0.995,0.98836,0.28609,0.41717,0.15729,0.7957,0.00307,0.00307,0.00307
72,33758.1,0.35388,0.49234,0.23884,0.88494,0.99425,1,0.995,0.97152,0.99425,1,0.995,0.98097,0.26679,0.43678,0.1562,0.79041,0.002971,0.002971,0.002971
73,34259.8,0.36683,0.50079,0.2432,0.89253,0.99518,1,0.995,0.97623,0.99518,1,0.995,0.98014,0.23656,0.42998,0.14888,0.79167,0.002872,0.002872,0.002872
74,34665.8,0.36064,0.50171,0.23704,0.89499,0.99517,1,0.995,0.98415,0.99517,1,0.995,0.97792,0.24814,0.43709,0.14961,0.78206,0.002773,0.002773,0.002773
75,35086.2,0.35571,0.48463,0.23133,0.88711,0.99553,1,0.995,0.98415,0.99553,1,0.995,0.98114,0.25082,0.44296,0.14678,0.77018,0.002674,0.002674,0.002674
76,35515.3,0.34994,0.48481,0.2381,0.89032,0.98613,1,0.995,0.9867,0.98613,1,0.995,0.97808,0.24583,0.44958,0.15974,0.7772,0.002575,0.002575,0.002575
77,36019.8,0.36754,0.51259,0.2438,0.9052,0.99639,1,0.995,0.98158,0.99639,1,0.995,0.98257,0.24689,0.42488,0.15835,0.77283,0.002476,0.002476,0.002476
78,36448.3,0.34462,0.49882,0.22836,0.88804,0.99426,1,0.995,0.98307,0.99426,1,0.995,0.97992,0.22498,0.42482,0.14763,0.77367,0.002377,0.002377,0.002377
79,36982.9,0.34038,0.46061,0.23173,0.88638,0.99392,1,0.995,0.98232,0.99392,1,0.995,0.98153,0.25625,0.41634,0.16274,0.78037,0.002278,0.002278,0.002278
80,37440.3,0.34385,0.49124,0.22547,0.88611,0.99504,1,0.995,0.98842,0.99504,1,0.995,0.98235,0.2223,0.41652,0.14744,0.77348,0.002179,0.002179,0.002179
81,37960.1,0.3247,0.46911,0.21137,0.87813,0.99502,1,0.995,0.98212,0.99502,1,0.995,0.98576,0.23738,0.4323,0.14558,0.77296,0.00208,0.00208,0.00208
82,38400.7,0.34999,0.49338,0.222,0.88422,0.99645,1,0.995,0.97812,0.99645,1,0.995,0.98629,0.2189,0.43789,0.14215,0.77242,0.001981,0.001981,0.001981
83,38819.2,0.32092,0.47475,0.21111,0.88015,0.99588,1,0.995,0.98248,0.99588,1,0.995,0.98347,0.22457,0.42636,0.1427,0.77243,0.001882,0.001882,0.001882
84,39235.8,0.33511,0.47878,0.21218,0.89087,0.99512,1,0.995,0.9824,0.99512,1,0.995,0.98489,0.24261,0.42396,0.14047,0.77512,0.001783,0.001783,0.001783
85,39760.6,0.32262,0.47308,0.20857,0.88402,0.99636,1,0.995,0.97128,0.99636,1,0.995,0.9826,0.22613,0.43025,0.13391,0.77506,0.001684,0.001684,0.001684
86,40209,0.31732,0.45495,0.20152,0.8802,0.99633,1,0.995,0.97794,0.99633,1,0.995,0.98301,0.22115,0.41762,0.13787,0.77165,0.001585,0.001585,0.001585
